customer_id,rank,product_id,recommended_channel,recommended_time,marketing_script
C000035,1,P002,call,工作日12:00-14:00,您好，我是您的专属理财顾问，为您介绍：固定期限002号（R5·固定期限），业绩比较基准11.3%，366天，1000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000035,2,P029,call,周末14:00-18:00,您好，我是您的专属理财顾问，为您介绍：固定期限029号（R4·固定期限），业绩比较基准7.8%，灵活存续，10000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000035,3,P023,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：固定期限023号（R5·固定期限），业绩比较基准9.8%，灵活存续，1000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000036,1,P012,call,工作日09:00-12:00,您好，我是您的专属理财顾问，为您介绍：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000036,2,P013,call,工作日12:00-14:00,您好，我是您的专属理财顾问，为您介绍：定开013号（R2·定开），业绩比较基准3.5%，灵活存续，10000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000036,3,P009,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：现金管理009号（R2·现金管理），业绩比较基准4.0%，730天，50000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000038,1,P012,app_push,工作日12:00-14:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000038,2,P025,app_push,工作日18:00-21:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000038,3,P026,app_push,周末14:00-18:00,专属推荐：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000043,1,P014,app_push,工作日09:00-12:00,专属推荐：混合014号（R1·混合），业绩比较基准2.3%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000043,2,P010,app_push,工作日12:00-14:00,专属推荐：现金管理010号（R1·现金管理），业绩比较基准2.8%，366天，50000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000043,3,P012,app_push,周末09:00-12:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000045,1,P017,call,工作日09:00-12:00,您好，我是您的专属理财顾问，为您介绍：现金管理017号（R3·现金管理），业绩比较基准4.3%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000045,2,P025,call,工作日12:00-14:00,您好，我是您的专属理财顾问，为您介绍：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000045,3,P024,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：定开024号（R3·定开），业绩比较基准4.7%，90天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000047,1,P001,app_push,工作日12:00-14:00,专属推荐：混合001号（R3·混合），业绩比较基准5.5%，730天，50000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000047,2,P006,app_push,工作日18:00-21:00,专属推荐：混合006号（R3·混合），业绩比较基准5.1%，灵活存续，50000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000047,3,P025,app_push,周末14:00-18:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000053,1,P025,manager,工作日09:00-12:00,钻石贵宾专享：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000053,2,P017,manager,工作日12:00-14:00,钻石贵宾专享：现金管理017号（R3·现金管理），业绩比较基准4.3%，180天，1000元起投，T+1 次日赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000053,3,P024,manager,工作日18:00-21:00,钻石贵宾专享：定开024号（R3·定开），业绩比较基准4.7%，90天，1000元起投，T+1 次日赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000060,1,P025,manager,工作日09:00-12:00,金卡贵宾专享：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000060,2,P008,manager,工作日12:00-14:00,金卡贵宾专享：定开008号（R3·定开），业绩比较基准5.1%，366天，10000元起投，封闭运作，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000060,3,P029,manager,周末09:00-12:00,金卡贵宾专享：固定期限029号（R4·固定期限），业绩比较基准7.8%，灵活存续，10000元起投，封闭运作，可为您预约专属认购。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000062,1,P026,call,工作日09:00-12:00,您好，我是您的专属理财顾问，为您介绍：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000062,2,P012,call,工作日12:00-14:00,您好，我是您的专属理财顾问，为您介绍：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000062,3,P018,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：现金管理018号（R2·现金管理），业绩比较基准3.6%，730天，10000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000063,1,P018,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：现金管理018号（R2·现金管理），业绩比较基准3.6%，730天，10000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000063,2,P020,call,周末14:00-18:00,您好，我是您的专属理财顾问，为您介绍：现金管理020号（R2·现金管理），业绩比较基准3.6%，366天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000063,3,P017,call,周末09:00-12:00,您好，我是您的专属理财顾问，为您介绍：现金管理017号（R3·现金管理），业绩比较基准4.3%，180天，1000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000067,1,P030,app_push,工作日12:00-14:00,专属推荐：固定期限030号（R2·固定期限），业绩比较基准3.1%，730天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000067,2,P019,app_push,周末14:00-18:00,专属推荐：定开019号（R2·定开），业绩比较基准3.3%，灵活存续，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000067,3,P026,app_push,工作日18:00-21:00,专属推荐：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000070,1,P009,app_push,工作日12:00-14:00,专属推荐：现金管理009号（R2·现金管理），业绩比较基准4.0%，730天，50000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000070,2,P012,app_push,工作日18:00-21:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000070,3,P026,app_push,周末14:00-18:00,专属推荐：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000076,1,P029,app_push,工作日09:00-12:00,专属推荐：固定期限029号（R4·固定期限），业绩比较基准7.8%，灵活存续，10000元起投，封闭运作。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000076,2,P017,app_push,工作日12:00-14:00,专属推荐：现金管理017号（R3·现金管理），业绩比较基准4.3%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000076,3,P025,app_push,周末09:00-12:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000080,1,P017,app_push,工作日09:00-12:00,专属推荐：现金管理017号（R3·现金管理），业绩比较基准4.3%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000080,2,P027,app_push,工作日12:00-14:00,专属推荐：现金管理027号（R4·现金管理），业绩比较基准7.7%，366天，100000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000080,3,P025,app_push,周末09:00-12:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000083,1,P030,app_push,工作日09:00-12:00,专属推荐：固定期限030号（R2·固定期限），业绩比较基准3.1%，730天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000083,2,P024,app_push,工作日12:00-14:00,专属推荐：定开024号（R3·定开），业绩比较基准4.7%，90天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000083,3,P025,app_push,工作日18:00-21:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000084,1,P022,app_push,工作日12:00-14:00,专属推荐：定开022号（R2·定开），业绩比较基准3.0%，730天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000084,2,P013,app_push,工作日18:00-21:00,专属推荐：定开013号（R2·定开），业绩比较基准3.5%，灵活存续，10000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000084,3,P019,app_push,周末14:00-18:00,专属推荐：定开019号（R2·定开），业绩比较基准3.3%，灵活存续，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000090,1,P025,app_push,工作日09:00-12:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000090,2,P024,app_push,工作日12:00-14:00,专属推荐：定开024号（R3·定开），业绩比较基准4.7%，90天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000090,3,P017,app_push,工作日18:00-21:00,专属推荐：现金管理017号（R3·现金管理），业绩比较基准4.3%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000096,1,P013,app_push,工作日18:00-21:00,专属推荐：定开013号（R2·定开），业绩比较基准3.5%，灵活存续，10000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000096,2,P020,app_push,周末09:00-12:00,专属推荐：现金管理020号（R2·现金管理），业绩比较基准3.6%，366天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000096,3,P009,app_push,周末14:00-18:00,专属推荐：现金管理009号（R2·现金管理），业绩比较基准4.0%，730天，50000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000100,1,P014,manager,工作日09:00-12:00,普通贵宾专享：混合014号（R1·混合），业绩比较基准2.3%，90天，10000元起投，T+1 次日赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000100,2,P026,manager,工作日18:00-21:00,普通贵宾专享：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回，可为您预约专属认购。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000100,3,P010,manager,周末14:00-18:00,普通贵宾专享：现金管理010号（R1·现金管理），业绩比较基准2.8%，366天，50000元起投，T+0 随时赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000104,1,P002,app_push,工作日09:00-12:00,专属推荐：固定期限002号（R5·固定期限），业绩比较基准11.3%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000104,2,P023,app_push,工作日12:00-14:00,专属推荐：固定期限023号（R5·固定期限），业绩比较基准9.8%，灵活存续，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000104,3,P004,app_push,工作日18:00-21:00,专属推荐：现金管理004号（R5·现金管理），业绩比较基准8.6%，灵活存续，1000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000109,1,P011,app_push,工作日18:00-21:00,专属推荐：固定期限011号（R2·固定期限），业绩比较基准3.3%，90天，10000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000109,2,P030,app_push,周末09:00-12:00,专属推荐：固定期限030号（R2·固定期限），业绩比较基准3.1%，730天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000109,3,P012,app_push,周末14:00-18:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000116,1,P027,manager,工作日09:00-12:00,钻石贵宾专享：现金管理027号（R4·现金管理），业绩比较基准7.7%，366天，100000元起投，T+1 次日赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000116,2,P005,manager,工作日12:00-14:00,钻石贵宾专享：现金管理005号（R5·现金管理），业绩比较基准11.0%，灵活存续，100000元起投，T+0 随时赎回，可为您预约专属认购。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000116,3,P006,manager,工作日18:00-21:00,钻石贵宾专享：混合006号（R3·混合），业绩比较基准5.1%，灵活存续，50000元起投，T+1 次日赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000122,1,P029,manager,工作日09:00-12:00,钻石贵宾专享：固定期限029号（R4·固定期限），业绩比较基准7.8%，灵活存续，10000元起投，封闭运作，可为您预约专属认购。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000122,2,P011,manager,工作日12:00-14:00,钻石贵宾专享：固定期限011号（R2·固定期限），业绩比较基准3.3%，90天，10000元起投，T+0 随时赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000122,3,P018,manager,工作日18:00-21:00,钻石贵宾专享：现金管理018号（R2·现金管理），业绩比较基准3.6%，730天，10000元起投，T+0 随时赎回，可为您预约专属认购。理财非存款，产品有风险，投资须谨慎。
C000127,1,P025,app_push,工作日09:00-12:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000127,2,P008,app_push,工作日12:00-14:00,专属推荐：定开008号（R3·定开），业绩比较基准5.1%，366天，10000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000127,3,P024,app_push,工作日18:00-21:00,专属推荐：定开024号（R3·定开），业绩比较基准4.7%，90天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000131,1,P014,app_push,工作日18:00-21:00,专属推荐：混合014号（R1·混合），业绩比较基准2.3%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000131,2,P012,app_push,周末09:00-12:00,专属推荐：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000131,3,P010,app_push,周末14:00-18:00,专属推荐：现金管理010号（R1·现金管理），业绩比较基准2.8%，366天，50000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000137,1,P029,app_push,工作日09:00-12:00,专属推荐：固定期限029号（R4·固定期限），业绩比较基准7.8%，灵活存续，10000元起投，封闭运作。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000137,2,P011,app_push,工作日12:00-14:00,专属推荐：固定期限011号（R2·固定期限），业绩比较基准3.3%，90天，10000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000137,3,P030,app_push,工作日18:00-21:00,专属推荐：固定期限030号（R2·固定期限），业绩比较基准3.1%，730天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000139,1,P002,call,工作日09:00-12:00,您好，我是您的专属理财顾问，为您介绍：固定期限002号（R5·固定期限），业绩比较基准11.3%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000139,2,P023,call,工作日12:00-14:00,您好，我是您的专属理财顾问，为您介绍：固定期限023号（R5·固定期限），业绩比较基准9.8%，灵活存续，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000139,3,P004,call,周末14:00-18:00,您好，我是您的专属理财顾问，为您介绍：现金管理004号（R5·现金管理），业绩比较基准8.6%，灵活存续，1000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000141,1,P025,app_push,工作日18:00-21:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
C000141,2,P024,app_push,周末09:00-12:00,专属推荐：定开024号（R3·定开），业绩比较基准4.7%，90天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000141,3,P017,app_push,周末14:00-18:00,专属推荐：现金管理017号（R3·现金管理），业绩比较基准4.3%，180天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000144,1,P029,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：固定期限029号（R4·固定期限），业绩比较基准7.8%，灵活存续，10000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000144,2,P002,call,周末14:00-18:00,您好，我是您的专属理财顾问，为您介绍：固定期限002号（R5·固定期限），业绩比较基准11.3%，366天，1000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000144,3,P023,call,周末09:00-12:00,您好，我是您的专属理财顾问，为您介绍：固定期限023号（R5·固定期限），业绩比较基准9.8%，灵活存续，1000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000145,1,P014,call,工作日12:00-14:00,您好，我是您的专属理财顾问，为您介绍：混合014号（R1·混合），业绩比较基准2.3%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000145,2,P026,call,周末14:00-18:00,您好，我是您的专属理财顾问，为您介绍：混合026号（R2·混合），业绩比较基准3.1%，180天，1000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000145,3,P012,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000155,1,P029,app_push,工作日12:00-14:00,专属推荐：固定期限029号（R4·固定期限），业绩比较基准7.8%，灵活存续，10000元起投，封闭运作。理财非存款，产品有风险，投资须谨慎。
C000155,2,P002,app_push,工作日18:00-21:00,专属推荐：固定期限002号（R5·固定期限），业绩比较基准11.3%，366天，1000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000155,3,P023,app_push,周末14:00-18:00,专属推荐：固定期限023号（R5·固定期限），业绩比较基准9.8%，灵活存续，1000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000158,1,P019,app_push,工作日18:00-21:00,专属推荐：定开019号（R2·定开），业绩比较基准3.3%，灵活存续，1000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000158,2,P013,app_push,周末09:00-12:00,专属推荐：定开013号（R2·定开），业绩比较基准3.5%，灵活存续，10000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000158,3,P022,app_push,周末14:00-18:00,专属推荐：定开022号（R2·定开），业绩比较基准3.0%，730天，10000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000161,1,P014,call,工作日12:00-14:00,您好，我是您的专属理财顾问，为您介绍：混合014号（R1·混合），业绩比较基准2.3%，90天，10000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000161,2,P012,call,周末14:00-18:00,您好，我是您的专属理财顾问，为您介绍：混合012号（R2·混合），业绩比较基准3.7%，90天，10000元起投，T+1 次日赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000161,3,P013,call,工作日18:00-21:00,您好，我是您的专属理财顾问，为您介绍：定开013号（R2·定开），业绩比较基准3.5%，灵活存续，10000元起投，T+0 随时赎回。该产品风险等级高于您的风险偏好，请谨慎选择。理财非存款，产品有风险，投资须谨慎。
C000162,1,P024,app_push,工作日09:00-12:00,专属推荐：定开024号（R3·定开），业绩比较基准4.7%，90天，1000元起投，T+1 次日赎回。理财非存款，产品有风险，投资须谨慎。
C000162,2,P025,app_push,工作日18:00-21:00,专属推荐：定开025号（R3·定开），业绩比较基准5.2%，366天，1000元起投，T+0 随时赎回。理财非存款，产品有风险，投资须谨慎。
